feature,go-elasticsearch_v9,opensearch-go_v4,notes
Bulk Operations,"✅ esutil.BulkIndexer with auto-batching, configurable size limits, per-item callbacks, retry logic","✅ opensearchutil.BulkIndexer with FlushBytes (default 5MB), FlushInterval (30s), per-item callbacks, stats tracking","Both support bulk indexing with size control (fixes #2192 bug). go-elasticsearch BulkIndexer: https://pkg.go.dev/github.com/elastic/go-elasticsearch/v9/esutil#BulkIndexer; opensearch-go BulkIndexer: https://pkg.go.dev/github.com/opensearch-project/opensearch-go/v4/opensearchutil#BulkIndexer"
Bulk Size Limiting,"✅ Configurable via BulkIndexer options; forward compatible handling of size thresholds","✅ FlushBytes parameter (default 5MB) controls batch size; prevents exceeding request limits","Critical for AWS OpenSearch 10MB HTTP limit. Both clients implement proper size-based flushing (unlike olivere/elastic where BulkSize was misinterpreted)"
Query/Aggregation DSL,"✅ typedapi provides type-safe query builders; esapi for low-level JSON queries","⚠️ opensearchapi low-level only; requires manual JSON construction or external DSL library","go-elasticsearch has richer query building with typedapi. Source: https://www.elastic.co/guide/en/elasticsearch/client/go-api/current/typedapi.html vs https://docs.opensearch.org/latest/clients/go/"
Search API (basic),"✅ Full support via Search() in both typedapi and esapi","✅ Full support via opensearchapi.SearchReq","Both support standard search operations. Examples in respective docs"
Scroll API,"✅ Supported via Scroll() methods in esapi and typedapi","✅ Supported via opensearchapi (confirmed in package docs)","Both support scroll for large result sets. go-elasticsearch: https://pkg.go.dev/github.com/elastic/go-elasticsearch/v9/esapi#ScrollRequest"
Point-in-Time (PIT),"✅ Supported in ES 7.10+ via OpenPointInTime/ClosePointInTime APIs","⚠️ Not explicitly documented; may require manual API calls","PIT introduced in ES 7.10; OpenSearch forked from ES 7.10.2. go-elasticsearch docs: https://www.elastic.co/guide/en/elasticsearch/reference/current/point-in-time-api.html"
Delete by Query,"✅ DeleteByQuery() in esapi and typedapi packages","✅ DeleteByQuery supported via opensearchapi","Both support delete-by-query. go-elasticsearch: https://pkg.go.dev/github.com/elastic/go-elasticsearch/v9/esapi#DeleteByQueryRequest"
Index Management,"✅ Full lifecycle: Create, Delete, GetSettings, PutSettings, PutMapping, Clone, Shrink, Split","✅ Create, Delete, GetSettings, PutSettings, PutMapping (advanced ops not explicitly documented)","go-elasticsearch has more comprehensive index management APIs. Source: https://pkg.go.dev/github.com/elastic/go-elasticsearch/v9/esapi#pkg-index"
Rollover API,"✅ Rollover() via esapi and typedapi with conditions support","⚠️ Rollover likely supported but not prominently documented","Jaeger uses rollover for time-based index management. go-elasticsearch: https://pkg.go.dev/github.com/elastic/go-elasticsearch/v9/esapi#IndicesRolloverRequest"
Alias Management,"✅ GetAlias, PutAlias, DeleteAlias, UpdateAliases (atomic multi-operation)","✅ Alias operations supported via opensearchapi","Both support alias management for index abstraction. go-elasticsearch: https://pkg.go.dev/github.com/elastic/go-elasticsearch/v9/esapi#IndicesGetAliasRequest"
Index Templates,"✅ PutTemplate, GetTemplate, DeleteTemplate, PutIndexTemplate (composable templates in ES 7.8+)","✅ Template operations supported (confirmed in docs examples)","Jaeger uses templates for span/dependency indices. go-elasticsearch: https://pkg.go.dev/github.com/elastic/go-elasticsearch/v9/esapi#IndicesPutTemplateRequest"
ILM/ISM Support,"✅ ILM APIs in esapi: PutLifecycle, GetLifecycle, ExplainLifecycle, etc","✅ ISM (Index State Management) plugin available in opensearch-go/v4/plugins/ism","ES uses ILM; OpenSearch uses ISM (similar but different). opensearch-go ISM: https://pkg.go.dev/github.com/opensearch-project/opensearch-go/v4/plugins/ism"
Cluster Health,"✅ ClusterHealth() with wait_for_status, timeout options","✅ ClusterHealth supported via opensearchapi","Both support cluster health checks for initialization/monitoring"
Multi-index Search,"✅ Search() accepts multiple indices via index parameter (comma-separated or array)","✅ Search() with multiple indices supported","Jaeger queries across date-sharded indices (jaeger-span-*)"
AWS OpenSearch Support,"⚠️ Requires external AWS SDK v2 sigv4 integration","✅ Built-in signer package (awsv2) for seamless AWS OpenSearch authentication","opensearch-go has native AWS support which is critical for issue #2192 AWS deployments. Source: https://pkg.go.dev/github.com/opensearch-project/opensearch-go/v4/signer/awsv2"
HTTP Request Customization,"✅ Configurable via transport.Config; supports custom headers, TLS, retry logic","✅ Configurable via opensearch.Config; similar transport customization","Both allow low-level HTTP customization for enterprise requirements"
Error Handling,"✅ Multiple error types (ResponseError, etc) with structured access to status codes and body","✅ Multiple error types (StringError, StructError, ReasonError, MessageError) for different ES/OS response formats","opensearch-go has more granular error types. Source: https://pkg.go.dev/github.com/opensearch-project/opensearch-go/v4#pkg-types"
Observability/Metrics,"✅ OpenTelemetry instrumentation support via config","✅ Metrics collection via config.EnableMetrics; custom logger interfaces (TextLogger, ColorLogger, CurlLogger, JSONLogger)","opensearch-go has richer built-in logging options. Source: https://pkg.go.dev/github.com/opensearch-project/opensearch-go/v4#Config"
Connection Pooling,"✅ Automatic via default transport; configurable max connections","✅ Automatic via opensearchtransport; node discovery with configurable intervals","Both handle connection pooling; opensearch-go has explicit node discovery intervals"
Version Compatibility,"✅ Forward compatible with ES 7.x, 8.x, 9.x (communicates with >= minor versions); separate v7, v8, v9 modules available","✅ OpenSearch 1.3.20 - 3.0.0; breaking changes between major versions","go-elasticsearch more permissive (forward compatible); opensearch-go stricter version alignment. Sources: https://github.com/elastic/go-elasticsearch README, https://github.com/opensearch-project/opensearch-go/blob/main/COMPATIBILITY.md"
